model_name,model_type,updated,downloaded,liked,model_url,app_list,total_app,app_sizes_in_bytes
distilbert-base-uncased-finetuned-sst-2-english,Text Classification,Oct 26,30.7M,355,https://huggingface.co/distilbert-base-uncased-finetuned-sst-2-english,"['microsoft/HuggingGPT', 'society-ethics/model-card-regulatory-check', 'optimum/optimum-benchmark-ui', 'nazneen/interactive-model-cards', 'ccolas/TastyPiano', 'ANDRYHA/FakeNewsClassifier', 'nazneen/seal', 'taesiri/HuggingGPT-Lite', 'CK42/sentiment-model-comparison', 'EnzoBustos/IC-2022-Classificacao-de-Dados-Financeiros', 'nazneen/error-analysis', 'fxmarty/bettertransformer-demo', 'echarlaix/openvino-export', 'autoevaluate/error-analysis', 'tinkoff-ai/caif', 'chinhon/Speech_Sentiment_Analysis', 'butterswords/nlc-explorer', 'kyleledbetter/responsibleGPT', 'Olivernyu/sentiment_analysis_app', 'Uvini/Hotel-Reviews', 'Endre/SemanticSearch-HU', 'abidlabs/call-sentiment-blocks-2', 'greco/survey_analytics_spaces', 'rajistics/interpet_transformers', 'codesue/dystopedia', 'TangibleAI/mathtext', 'abrar-adnan/speech-analyzer', 'kingsotn/tt-ai', 'ccarr0807/HuggingGPT', 'emmaenglish/sentiment-analysis-of-text-app', 'AiPalsDev/Translate_It', 'theholycityweb/HuggingGPT', 'Sohaibahmad/AIdetector', 'contluForse/HuggingGPT', 'Alfasign/HuggingGPT-Lite', 'saurshaz/HuggingGPT', 'ivyblossom/sentiment-analysis', 'Visgift/nyami', 'Fouzia/Harvard-USPTO_Patentability-Score', 'gourib/llama_demo', 'iabualhaol/pdfchat', 'kudoshinichi/hf-sentiment-models', 'chinhon/sentiment_structure_visualiser', 'justheuristic/ysda-demo', 'ayse/sentiment-classifier', 'husnu/ASR_to_QA', 'ombhagwat24/senti', 'Saurav21/Sentiment-Analysis', 'anonymous8/Rapid-Textual-Adversarial-Defense', 'pattawat/stat_ds__02', 'Jindong/test123', 'Booguy/linguask', 'fabiochiu/sentiment-analysis-demo', 'mattaylor/embedding', 'ucd-fs/sentiment-analysis', 'madani/space1', 'madani/streamlit1', 'pngwn/sentiment-analysis-demo', 'Rimi98/ReviewClassifier', 'awacke1/TorchMLTrainerStreamlit', 'kelvinleong/Kt_Demo_Text-Classification', 'kelvinleong/Kt-Demo-Text_classifier', 'ac8736/sentiment-analysis-app', 'JulianHame/sentiment-analysis-app', 'cfsandu/OnLineSentimentAnalysis', 'mariasandu/sentiment-analysis-of-a-tweet', 'sergey-hovhannisyan/toxic-tweets', 'sihanasaku/SentimentAnalysisApp', 'sachiniyer/toxic-tweets', 'miknad2319/CS485-Milestone-2', 'Soruki/Sentiment-analyzer', 'Keshavp08/sentiment-analysis-app', 'Jainesh212/Sentiment_Ana', 'andyqin18/sentiment-analysis-app', 'keaneu/HuggingGPT', 'aim9061/sentiment-analysis', 'viscosity/HuggingGPT', 'Michael54546/milestone2', 'Hrithikka/sentiment-analysis', 'davidchiii/toxic-tweets', 'slachitoff/CS-GY_6613_Project', 'Kev07/Toxic-Tweets', 'dk3156/sentiment_analysis_app', 'Mcdof/HuggingGPT', 'VarshithaCh/sentiment-analysis-app', 'rd448/sentiment-analysis-streamlit', 'BMukhtar/BMA', 'chrisW6825/HuggingGPT', 'Shenziqian/HuggingGPT', 'lokutus/HuggingGPT', 'mimiqiao/HuggingGPT', 'arpachat/sentiment-analysis', 'tsgbalakarthik/HuggingGPT', 'Rathgeberj/CS-UY4613Project', 'wowochkin/HuggingGPT', 'Msp/HuggingGPT', 'notbhu/toxic-tweets', 'v-nemala/sentiment-analysis', 'CodyJiang/text-sentiment-analysis-app', 'oscarvel821/sentiment-analysis-app', 'mohdAkibUddin/sentiment-analysis-application', 'dbleek/cs-gy-6613-project', 'jlaf01/sentiment-analysis-app', 'RobCaamano/Finetuning_Language_Models-Toxic_Tweets', 'Ptato/Sentiment-Analysis', 'metaknightccc/sentiment-analysis-app', 'Rafarod513/sentiment-analysis-cs482', 'medelharchaoui/sent_app', 'ryan12439/HuggingGPTpub', 'FANCHIYU/HuggingGPT', 'Betacuckgpt/HuggingGPT', 'cashqin/HuggingGPT', 'felixfriday/MICROSOFTT_JARVIS_HuggingGPT', 'Meffordh/HuggingGPT', 'lzqfree/HuggingGPT', 'bountyfuljr/HuggingGPTplaypublic', 'mearjunsha/HuggingGPT', 'turbowed/HuggingGPT', 'Chokyounghoon/HuggingGPT', 'lollo21/Will-GPT', 'Pfs2021Funny/HuggingGPT', 'irritablebro/HuggingGPT', 'julianna-fil/EmotionApp', 'MagKoz/HuggingGPT', 'zhangdream/HuggingGPT', 'sepo96/sentiment_analysis', 'gefedya/YSDA_transfprmers_nlp_ops', 'calliber/HuggingGPT', 'Pitak/HuggingGPT', 'gaocegege/HuggingGPT', 'apgarmd/jarvis', 'apgarmd/jarvis2', 'mukulnag/HuggingGPT1', 'lugifudun/HuggingGPT', 'leadmaister/HuggingGPT', 'pors/HuggingGPT', 'vs4vijay/HuggingGPT', 'AhmedFaisal/milestone-3', 'mariasandu/detecting-toxic-tweets', 'mariasandu/toxic-comment-app', 'mckeeboards/HuggingGPT', 'Mcdimmy/testing', 'JKJanosko/Toxicity-Analysis', 'v-nemala/toxic-comment-classification', 'cdb24/Milestone3', 'CodyJiang/Finetuning-Sentiment-Analysis-App', 'mastere00/JarvisMeetsProfessor', 'passthebutter/HuggingGPT', 'manu1435/HuggingGPT', 'rafaelcalleja/HuggingGPT', 'NaamanSaif/HuggingGPT', 'VarshithaCh/patentability', 'dbleek/cs-gy-6613-project-final', 'CollaalloC/HuggingGPT', 'dwolfe66/HuggingGPT', 'xian-sheng/HuggingGPT', 'Aygtljl518866/HuggingGPT', 'Hemi1403/HuggingGPT', 'trhacknon/HuggingGPT', 'Vito99/HuggingGPT-Lite', 'EinfachOlder/HuggingGPT-Lite', 'diadeMniaso/SentimentAnalysisApp', 'aus10powell/test', 'glrh11/distilbert-base-uncased-finetuned-sst-2-english', 'sumitdas1984/gradio-sentiment-analyzer', 'innovativeillusions/HuggingGPT', 'snowc2023/simple-sentiment-analyzer', 'Bonosa2/SentimentAnalysis', 'yashaswini278/sentiment_analysis', 'VeyVey/PredictIncome', 'vasevooo/NLP_project', 'jignasha/Sentiment_Analysis', 'kefkefkefkef/imdb2', 'Elliot-AIGC/Sentiment_classification_by_Elliot', 'ylavie/HuggingGPT3', 'ylavie/HuggingGPT-Lite', 'lokraj2/sequencer', 'Chris4K/chained', 'CCYAO/HuggingGPT', 'SumanthKarnati/KnowTheText', 'mvasani/mysentimentapp', 'mvasani/trial_space', 'Krupa049/Milestone-2', 'dcams/HuggingGPT', 'coolkrishds/app_demo2', 'ahmedalrashedi/demo', 'cpereira/ai-marketplace', 'cndavy/HuggingGPT', 'nextgenai/myspace-1', 'Pranjal12345/SentimentAnalysis', 'GroNLP/LM-Explanation-Demo', 'Ankush05/Code8', 'TensorBoyML/Lucky', 'deniandriancode/simple-sentiment-analysis-pipeline', 'iabualhaol/test_sent', 'Bayhaqy/Classification-News-Analysis-and-Prediction', 'SSHAMZZ/Host_trial_1', 'pattawat/hh', '640510702phithak/Text_Generator', '640510702phithak/Sentiment-Analysis', 'ZackBradshaw/omni_bot', 'atrifat/tt-ai', 'atrifat/hate-speech-test-api', 'pjeena/Customer-Insights', 'sujit2050/learning', 'scademy/distilbert-sentiment-analysis', 'mokshdudeja/FakeNewsClassifier_by_Moksh_and_pooja']",207,"[88343.64, 9619.24, 142854.32, 229976.2, 15153.16, 88530.16, 38993.92, 92467.52, 4970.2, 13619.52, 32645.0, 113832.48, 45299.08, 31826.8, 28855.16, 5089.48, 58838.64, 21989.92, 9372.12, 13418.61, 14109.759999999998, 100120.08, 71083.48000000001, 6308.599999999999, 15909.88, 45285.23999999999, 11851.78, 119363.96, 86921.0, 95936.0, 4624.280000000001, 87559.68, 2663.52, 179643.2, 92508.52, 87928.31999999999, 1888.08, 3838.76, 2949.2, 6119.96, 3416.48, 2510.48, 5933.76, 2700.08, 3360.76, 6807.92, 2116.08, 2287.08, 23499.58, 2155.16, 10484.08, 307006.16, 3520.64, 2904.52, 2514.52, 2032.52, 2388.52, 3571.64, 2692.82, 4746.4, 2454.52, 2454.52, 96698.16, 2317.56, 2685.64, 75810.64, 46949.88, 876.0, 12637.72, 5105.08, 2192.52, 3259.64, 3285.6, 19491.24, 85323.56, 268220.24, 85856.04, 932.0, 2388.52, 349050.43999999994, 3924.2, 90548.72, 14220.48, 86265.63999999998, 2126.16, 1537.16, 89495.16, 86921.0, 86921.0, 86921.0, 86921.0, 3879.92, 86921.0, 619690.3600000001, 86921.0, 86921.0, 4048.4, 457244.0, 1494.32, 10584.68, 185514.0, 174242.2, 21426.04, 8171.52, 30588.120000000003, 19061.680000000004, 1416.0, 2611.52, 86921.0, 86921.0, 86921.0, 86921.0, 86921.0, 86969.0, 87283.2, 87426.56, 87662.07999999999, 87662.07999999999, 87662.07999999999, 87662.07999999999, 87662.07999999999, 87662.07999999999, 202635.56, 87662.07999999999, 87662.07999999999, 4778.04, 51496.66, 87559.68, 87559.68, 87559.68, 87790.87999999999, 87559.68, 87825.91999999998, 87825.91999999998, 88048.19999999998, 87825.91999999998, 87825.91999999998, 6944.24, 76051.64, 76065.64, 87825.91999999998, 2262.52, 150526.52, 456821.84, 3526.6400000000003, 3000.4, 87825.91999999998, 87825.91999999998, 87825.91999999998, 87825.91999999998, 87825.91999999998, 249837.08, 285660.68, 87825.91999999998, 87825.91999999998, 87825.91999999998, 87825.91999999998, 87825.91999999998, 87825.91999999998, 92600.68, 92599.68, 158495.8, 9961.32, 2231.52, 2301.52, 87825.91999999998, 3802.8, 2728.52, 2774.52, 3526.56, 11776.0, 9396.32, 350076.2799999999, 2244.52, 88010.23999999999, 92508.52, 2611.48, 17816.48, 87928.31999999999, 5400.0, 3581.88, 5123.68, 697033.48, 87928.31999999999, 2994.32, 2580.48, 15135.08, 87928.31999999999, 2667.48, 2782.48, 1477584.9399999997, 2105.48, 3377.7200000000003, 2200.48, 2512.48, 2502.48, 16684.68, 2313.48, 2339.48, 2394.48, 71019.4, 119362.96, 5847.88, 13711.88, 2300.48, 6279.52, 88516.20000000001]"
cardiffnlp/twitter-roberta-base-irony,Text Classification,Aug 2,6.8M,14,https://huggingface.co/cardiffnlp/twitter-roberta-base-irony,['Eberhenriquez/cardiffnlp-twitter-roberta-base-irony'],1,[1927.48]
lxyuan/distilbert-base-multilingual-cased-sentiments-student,Text Classification,Jun 24,6.54M,55,https://huggingface.co/lxyuan/distilbert-base-multilingual-cased-sentiments-student,"['jingwora/language-emotion-classification-sentiment-ja', 'storresbusquets/demo1', 'miscjose/Data-Annotation-Tool', 'storresbusquets/llm-demo1', 'AndresAlejandro/demo1', 'AndresAlejandro/llm-demo1-finalfinal', 'storresbusquets/tfm-media-insights', 'alexvaroz/sentiment_analysis_pt', 'DanyaalMajid/NLP-Q2', 'syedabdullah32/sentiments-student']",10,"[4370.56, 21825.76, 9136.08, 25861.08, 22069.56, 25680.28, 28015.48, 2311.48, 5663.719999999999, 1900.48]"
mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,Text Classification,Mar 16,6.54M,123,https://huggingface.co/mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,"['sohomghosh/FLUEnT', 'Anthos23/hummus', 'nikoifirewall/First_shot_gradio_covid_sentiment_analysis', 'slachitoff/CS-GY_6613_Project', 'saccharinedreams/sentiment-analysis-app', 'Alejandrapulidoa/PriceScopev2', 'Alejandrapulidoa/finetuned-financial-news-sentiment-analysis', 'shekolla/finbert-financial-sentiment', 'ellyothim/first_shot_sentiment_analysis', 'ellyothim/First_shot_gradio_covid_sentiment_analysis', 'Jamal914/First_shot_gradio_covid_sentiment_analysis', 'Mavrck307/mrm8488-distilroberta-finetuned-financial-news-sentiment-analysis', 'jboyerjr/mrm8488-distilroberta-finetuned-financial-news-sentiment-analysis', 'Ahmad-Moiz/classification-Sentiment']",14,"[22595.450000000004, 2607.92, 4103.88, 3924.2, 44807.6, 121958.84, 4422.96, 9131.88, 3815.88, 4033.88, 4103.88, 1965.48, 1969.48, 3215.88]"
SamLowe/roberta-base-go_emotions,Text Classification,Oct 4,6.5M,191,https://huggingface.co/SamLowe/roberta-base-go_emotions,"['Pontonkid/Real-Time-Multilingual-sentiment-analysis', 'muneebashraf/Visual-Sentiment-Analyzer', 'Vadala/SamLowe-roberta-base-go_emotions', 'noelfranthomas/Cratic_test', 'feierdun/SamLowe-roberta-base-go_emotions', 'rbyat/Immortal-Beloved', 'exogenous/Real-Time-Multilingual-sentiment-analysis', 'yilin1344/my_first_space', 'coffeebeans-ai/audio_sentiment_analysis', 'detian/SamLowe-roberta-base-go_emotions', 'Subhanshu999999/movie-sentiment-analysis', 'TIXTPCOA/SamLowe-roberta-base-go_emotions', 'Zigzagindia/electron_asr', 'LimKopi/Whisper-Audio-Analysis', 'agkbv/SamLowe-roberta-base-go_emotions', 'WeiHan123/Audio-Analysis', 'djdipt/SIH-docker-backend', 'mfernezir/SentimentAnalysis', 'kaungmyat/SamLowe-roberta-base-go_emotions', 'rayespinozah/project.audio.sentiment', 'Maryam-1/SamLowe-roberta-base-go_emotions', 'thocky/LLMProjects', 'Maryam-1/emotions_classification', 'attaelahi/Emotion-Detection', 'blobcurry/test1234', 'Maryam-1/Project-1', 'testDS/SamLowe-roberta-base-go_emotions', 'DanyaalMajid/NLP-Q2']",28,"[6954.07, 3583.28, 1888.48, 6157.48, 1917.48, 69162.72, 7033.31, 2140.48, 12049.03, 1897.48, 952813.4200000002, 1897.48, 6808.03, 46182.08, 1918.48, 86009.59999999999, 4510.56, 2411.48, 1899.48, 7563.299999999999, 1901.48, 2778.48, 1890.48, 3900.48, 2040.48, 3329.52, 1907.48, 5663.719999999999]"
Ashishkr/query_wellformedness_score,Text Classification,21 days ago,6.42M,14,https://huggingface.co/Ashishkr/query_wellformedness_score,[],0,[]
marieke93/MiniLM-evidence-types,Text Classification,"Jun 11, 2022",6.42M,5,https://huggingface.co/marieke93/MiniLM-evidence-types,[],0,[]
cardiffnlp/twitter-roberta-base-sentiment,Text Classification,Jan 20,4.81M,225,https://huggingface.co/cardiffnlp/twitter-roberta-base-sentiment,"['miesnerjacob/Multi-task-NLP', 'Jayeshbhaal/news_filter_for_social_wellbeing', 'aus10powell/TwitterAccounts', 'Olivernyu/sentiment_analysis_app', 'johnowhitaker/twitter_viz', 'pouchedfox/SP', 'Mohit-321/WhatsappchatAnalyzer', 'kajalag/Whatsapp_Chat_Analyzer', 'Bedirhan/bitirme-proje', 'pouchedfox/Sen', 'euvieeugenio/textclassification_demo_app', 'varunkuntal/twitter-roberta-base-sentiment', 'furquan/TwitterSentimentAnalysisRoberta', 'edusei/sentiment', 'Captainlongshort/TwitterSentiment', 'ac8736/sentiment-analysis-app', 'MJ3128/CS-GY-6613-Project', 'sethlxk/milestone2', 'sihanasaku/SentimentAnalysisApp', 'juliaannjose/SentimentAnalysis', 'EmirLise/sentiment_analysis', 'arianasutanto/milestone2', 'miknad2319/CS485-Milestone-2', 'andyqin18/sentiment-analysis-app', 'dahongj/sentiment-analysis', 'slachitoff/CS-GY_6613_Project', 'Kev07/Toxic-Tweets', 'VarshithaCh/sentiment-analysis-app', 'jbraha/aiproject', 'notbhu/toxic-tweets', 'simon-kurbiel/sen-analysis', 'simon-kurbiel/Sentiment-Analysis', 'Ptato/Sentiment-Analysis', 'saccharinedreams/sentiment-analysis-app', 'AaronBarbosa/twitter_sentiment', 'xingxing12/cardiffnlp-twitter-roberta-base-sentiment', 'dperales/ITACA_Insurance_Core_v4', 'jeromechew15/milestone2', 'rk2546/csgy-6613-project-rk2546', 'EmirLise/Toxic_Clasifier', 'JKJanosko/Toxicity-Analysis', 'simon-kurbiel/tweet-toxicity', 'rbbotadra/toxicity-analyzer-app', 'danielperales/ITACA_Insurace_NLP_v2', 'VarshithaCh/patentability', 'HarshAI/Dual_Model_Sentiment_Analyzer', 'diadeMniaso/SentimentAnalysisApp', 'SaraHossam/SentimentAnalysis', 'Mohit-321/Whatsapp_Chat_Analyzer', 'nassga/Toxic_tweets_analizer', 'k-varma/tweet-sentiment-analysis', 'HOLYBOY/Sentiment_Analysis_App', 'asungajinli/cardiffnlp-twitter-roberta-base-sentiment', 'lokesh6361/analysis', 'benmanks/Sentiment-app', 'jatinjaglan/wca', 'RosiSoyYo/AIIA']",57,"[33132.920000000006, 394125.4, 16138.0, 9372.12, 6064.799999999999, 8409.04, 21669.16, 21669.16, 10534.28, 9780.2, 2732.52, 1866.52, 356603.08, 14092.96, 1866.52, 96698.16, 213201.16, 3344.0, 876.0, 2828.76, 1418.08, 2875.2, 5105.08, 19491.24, 86183.88, 3924.2, 90548.72, 2126.16, 594777.92, 4048.4, 1696.52, 3221.04, 30588.120000000003, 44807.6, 471484.8000000001, 1893.52, 256382.87999999995, 3350.0, 30787.6, 6256.4, 150526.52, 1773.52, 296719.52, 256432.87999999995, 249837.08, 3772.12, 158495.8, 2794.76, 21659.16, 3105.0, 3202.16, 32581.2, 1919.48, 2559.48, 3811.32, 22829.480000000003, 2655.48]"
nlptown/bert-base-multilingual-uncased-sentiment,Text Classification,Jul 27,1.96M,207,https://huggingface.co/nlptown/bert-base-multilingual-uncased-sentiment,"['CK42/sentiment-model-comparison', 'EnzoBustos/IC-2022-Classificacao-de-Dados-Financeiros', 'awacke1/Daredevil-Text-Generation', 'AE-NV/sentiment-productreview', 'SamiAlghamdi/FirstEver', 'BulatF/StreamlitSentiment', 'Sudhanshu976/NLP_FULL_APP', 'kmanoj/Sentiment_Analysis', 'utec/Manuel2002', 'kennyhelsens/mlux-feedback-tally', 'Wootang01/sentiment_analyzer_3', 'snoopy731/Goodreads-Score', 'nikhil567/book-recommend-review-system', 'HamidBekam/Test_DeployingHFMs_Gradio', 'junming-qiu/toxic-tweets-milestone-2', 'juliaannjose/SentimentAnalysis', 'Samp007/Sentiment-analysis-app', 'slachitoff/CS-GY_6613_Project', 'corykhal/AI-project', 'Sixty9/TA3', 'Sixty9/TA4', 'Sixty9/TA5', 'Sixty9/TA6', 'ShadowDominator/feedback-sentiment-analysis', 'ShadowDominator/sentiment-analysis', 'mohanchinnappan/senti', 'After-the-Dark/sentiment-analysis', 'Matt-CB/TwitterAccountAnalyzer', 'VeyVey/CovidSentiment', 'VeyVey/Predict_Weather', 'Sixty9/TA7', 'Sixty9/Sixth_Sense', 'patel18/sentiment_analysis', 'santireyg/memeficador', 'Shweta0801/demo-app-text-sentiment-analysis', 'joey1895/nlptown-bert-base-multilingual-uncased-sentiment', 'Chris4K/chained', 'kitakitune/spaces0703', 'Krupa049/Milestone-2', 'CosmoAI/CosmoS', 'alexanderander30/nlptown-bert-base-multilingual-uncased-sentiment', 'Sixty9/SixthSense', 'Abdel/nlptown-bert-base-multilingual-uncased-sentiment', 'GroNLP/LM-Explanation-Demo', 'TensorBoyML/Lucky-Pika', 'Sowmya1022/nlptown-bert-base-multilingual-uncased-sentiment', 'ans123/nlptown-bert-base-multilingual-uncased-sentiment', 'LeireTedCas/QUIROHELP_WEB_v1', 'rohanvetale/sent1', 'taimoor61/classification', '7jimmy/textclassificationbysharjeel', '7jimmy/textclassificationbyjiimy']",52,"[4970.2, 13619.52, 4785.88, 3111.2, 221716.32, 11688.44, 4207.76, 6653.52, 1630.08, 3851.92, 2040.08, 2542.52, 10086.759999999998, 2743.52, 35625.880000000005, 2828.76, 3000.88, 3924.2, 5409.719999999999, 3916.92, 3919.16, 3921.16, 4062.52, 3647.48, 5538.12, 5528.639999999999, 5538.12, 12399.6, 2404.52, 3280.8, 4090.52, 4146.2, 3505.6, 3489.36, 2039.48, 1963.48, 17816.48, 2232.48, 697033.48, 9120.44, 1930.48, 4365.48, 1929.48, 1477584.9399999997, 3486.6, 1932.48, 1930.48, 127227.08, 6653.52, 2748.48, 2709.48, 2998.2]"
ProsusAI/finbert,Text Classification,May 23,1.72M,391,https://huggingface.co/ProsusAI/finbert,"['IoannisTr/Tech_Stocks_Trading_Assistant', 'sbhatti2009/stock-analysis', 'Shredder/CONBERT-3', 'EnzoBustos/IC-2022-Classificacao-de-Dados-Financeiros', 'amgross01/Stocks_Trading_Assistant', 'darthPanda/Social_media_sentiment_tracker', 'sohomghosh/FinLanSer_Financial_Language_Simplifier', 'Shredder/CONBERT-2', 'sohomghosh/FLUEnT', 'sohomghosh/FinRead', 'rajistics/interpet_transformers', 'Shredder/CONBERT', 'ESG-TFM-UV/ESG_API_BATCH', 'Swindu/ProsusAI-finbert', 'awacke1/HEDIS.Dash.Component.Top.Clinical.Terminology.Vocabulary', 'talaa/Financial-sentiment-news-analysis', 'TrungTech/finBert', 'kudoshinichi/hf-sentiment-models', 'mixcard/text-finbert', 'vives/bert_cvent_top_k_sim', 'husnu/ASR_to_QA', 'Shredder/Prototype', 'Shredder/Sample', 'kandy/Lab_stat', 'wiraindrak/financial-sentiment-classification-indonesia', 'wuwu1/ProsusAI-finbert', 'darthPanda/SentimentAnalysisTool', 'ateliershen/ProsusAI-finbert', 'kelvinleong/Kt-Demo-Text_classifier-2', 'ac8736/sentiment-analysis-app', 'miknad2319/CS485-Milestone-2', 'Pruthul/CS482-104-Milestone2', 'slachitoff/CS-GY_6613_Project', 'huangtianba/ProsusAI-finbert', 'JKJanosko/Toxicity-Analysis', '2gauravc/ProsusAI-finbert', 'kya5/CS482-Milestone2', 'flexcupVcomka/Kt-Demo-Text_classifier-2', 'Ntabukiraniro/Finance', 'daramaccoille/ProsusAI-finbert', 'teragron/ekmek', 'Himanshusingh/sec_sentiment_analysis', 'manvik28/SEC_Sentiment_Analysis', 'asungajinli/ProsusAI-finbert', 'TrungTech/Financial_Sentiment_Analysis_with_BERT', 'kp03/finBert', 'davissong01/financial-sentiment-analysis', 'nsjzg/ProsusAI-finbert', 'justlookup/ProsusAI-finbert', 'alexpaul/ProsusAI-finbert', 'JaCrispy35/financial_sentiment_analysis_advisor']",51,"[38157.36, 9630.56, 35289.97, 13619.52, 38186.12, 23356.12, 9743.36, 35248.01, 22595.450000000004, 634166.24, 6308.599999999999, 35512.25, 23345.38, 1825.52, 29149.32, 16775.04, 15575.56, 2510.48, 1863.48, 11517.29, 6807.92, 72226.89, 35972.05, 2127.16, 6898.08, 1787.52, 34429.72, 1828.52, 2432.52, 96698.16, 5105.08, 3393.76, 3924.2, 1824.52, 150526.52, 1846.52, 2718.52, 134613.24000000002, 4443.14, 1824.52, 5174.96, 68093.28, 14019.08, 1865.48, 9743.36, 16224.96, 2435.48, 1866.48, 1866.48, 1854.48, 5472.4400000000005]"
